Course Name,Type_of_Program,Description,Goals,Location,Date Range,Duration,Start Date,End Date,Age Group,Questions,Answers,links
لقاء كيف تبدأ مسيرتك المهنية في الحوسبة السحابية؟,لقاء,لقاءات دورية في أبرز المجالات والتخصصات، من تقديم خبراء ومتخصصين وبالتعاون مع جهات رائدة ومتقدمة.,", مقارنة بين الحوسبة التقليدية والسحابية, الحوسبة السحابية ودورها في تمكين رؤية السعودية 2030, خطوات بداية مسيرتك المهنية في الحوسبة السحابية, مساحة للنقاش مع خبراء في الحوسبة السحابية",غير مذكور,يوم واحد,07:00 م - 08:00 م,2023-10-10,2023-10-10,كبار,", أين سيقام اللقاء؟, هل يتوجب علي الحضور لمدينة الرياض لحضور اللقاء؟",", في مقر الأكاديمية بمدينة الوياض, نعم",https://tuwaiq.edu.sa/bootcamp/L20dYnXK/view
لقاء عادات النجاح,لقاء,لقاءات دورية في أبرز المجالات والتخصصات، من تقديم خبراء ومتخصصين وبالتعاون مع جهات رائدة ومتقدمة.,", قاعدة العشرة آلاف ساعة, ماهي العادة وكيفية تسخيرها؟, أبرز المفاهيم المتعلقة بعادات النجاح, كيف تحقق المنظومات قفزات نوعية؟",غير مذكور,يوم واحد,12:00 م - 08:00 م,2023-10-11,2023-10-11,كبار,", أين سيقام اللقاء؟, هل يتوجب علي الحضور لمدينة الرياض لحضور اللقاء؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/EA0pD0J1/view
تحليل البيانات باستخدام SQL,برنامج,يهدف البرنامج إلى تزويد المتدربين بمهارات قوية في استخدام لغة SQL لتحليل البيانات، كما ستتعلم كيفية استعلام وتحليل البيانات المخزنة في قواعد البيانات باستخدام أوامر مبسطة وسهلة الفهم.,", التعرف على كيفية استخدام لغة الاستعلام المنظمة (SQL) بطريقة فعالة., التعرف على كيفية استخراج وتحليل البيانات المخزنة في قواعد البيانات., التغطية التامة للمفاهيم الأساسية في SQL., التعرف على كيفية الاستعلام عن البيانات، ودمج الجداول، وإجراء التجميعات والتحليلات المختلفة باستخدام الاستعلامات الفرعية والجداول المؤقتة والوظائف النافذة.",عن بعد,أسبوعان,04:00 م - 06:00 م,2023-10-15,2023-10-26,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", يقام البرنامج عن بعد, لا",https://tuwaiq.edu.sa/bootcamp/AXgMaglM/view
أساسيات علوم الشبكات NETWORK+,برنامج,يهدف هذا البرنامج إلى تأسيس المتدرب في علوم الشبكات، وتمكينه للحصول على شهادة CompTIA Network+ التي تؤهله للدخول في سوق العمل السعودي.,", التعرف على أساسيات الشبكات, التعرف على بروتوكولات الشبكات ووصفها بشكل عام, التعرف على كيفية تحديد خصائص أنظمة تشغيل الشبكات, التعرف على نموذج OSI والشبكات التابعة له, التعرف على كيفية نقل البيانات عبر الشبكات, التعرف على كيفية دخول الشبكات عن بعد, مراقبة أداء الشبكات وإدارتها",الرياض,أسبوعان,05:00 م - 09:00 م,2023-10-15,2023-10-26,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/qe109Am5/view
البنية المؤسسية بمنهجية وإطار TOGAF,برنامج,يهدف البرنامج إلى التعرف على كيفية إدارة البنية المؤسسية والمفاهيم المعرفية والممارسات العملية للبنية المؤسسية بمنهجية وإطار (TOGAF)، كما تهدف للتعرف على المصطلحات والمفاهيم الأساسية لـ TOGAF والتقاطعات مع الأٌطر التقنية والإدارية المختلفة، بالإضافة إلى التقاطعات مع الجهات المُختلفة في المملكة العربية السعودية، والتركيز على التطبيق العملي لإطار، TOGAF واستخدام السيناريوهات العملية لترسيخ فهم المفاهيم.,", فهم المفاهيم الأساسية للبنية المؤسسة ومعيار TOGAF., شرح ميزات معيار TOGAF ومنهجيته., تطبيق أسلوب التطوير المعماري (ADM) والإرشادات والتقنيات الداعمة له., معرفة مخرجات محتوى العمارة., تفسير النماذج المرجعية ووظيفة البنية في TOGAF., استعداد لامتحان شهادة TOGAF. ",الرياض,أسبوع واحد,06:00 م - 09:00 م,2023-10-15,2023-10-19,كبار,", هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟, أين سيقام البرنامج؟",", نعم, في مقر الأكاديمية بمدينة الرياض",https://tuwaiq.edu.sa/bootcamp/4PpxrDG2/view
أمن وحماية المعلومات في osi model,برنامج,يهدف البرنامج إلى التعرف على سبل حماية وأمن نموذج الطبقات التي بدورها تصف وتحدد المعايير الخاصة بوظائف الاتصالات والأنظمة الحاسوبية، وذلك لامتلاك إمكانية تشغيل أنظمة الاتصالات وبروتوكولاتها المختلفة بشكل متوافق وآمن مع بعضها البعض.,", التعرف على طرق حماية البيانات والمعلومات, التعرف على تقنيات أمن الاتصالات, التعرف على كيفية تحديد المخاطر التقنية في كل مرحلة",الرياض,أسبوع واحد,07:00 م - 09:00 م,2023-10-15,2023-10-19,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/E7D8wO8L/view
إعداد البنية التحتية للفريق الأحمر (Red Team) ,لقاء,لقاءات دورية في أبرز المجالات والتخصصات، من تقديم خبراء ومتخصصين وبالتعاون مع جهات رائدة ومتقدمة.,",  ما هو الفريق الأحمر (Red Team)؟, الفرق بين اختبار الاختراق والفريق الأحمر (Red Team), المتطلبات الأساسية لإعداد البنية التحتية, إعداد خادم Digital Ocean وحجز اسم النطاق., إعداد جهاز Kali VM  C2., تطبيق عملي (اختراق جهاز الضحية)., جلسة مفتوحة للأسئلة في مجال اختبار الاختراق.",الرياض,يوم واحد,07:00 م - 08:00 م,2023-10-18,2023-10-18,كبار,,,https://tuwaiq.edu.sa/bootcamp/YZaBO63N/view
طويق وعلي بابا للحوسبة السحابية,معسكر,معسكر تدريبي متخصص في إكساب المتدرب المهارات التقنية المهمة والاستفادة من مختلف الخدمات السحابية، وذلك من خلال التعلم القائم على محاكاة بيئات العمل الحقيقية، والتمارين العملية، والمناهج الدراسية في المجالات الحيوية والبرمجة، والشبكات، وأنظمة التشغيل، وأمن المعلومات، وقواعد البيانات.,", رفع الكفاءة في المجالات الناشئة., فهم أساسيات الحوسبة السحابية وخدمات الانتقال إلى البيئة السحابية., فهم عميق لمنصة علي بابا و أدواتها وخدماتها., إعداد وتكوين الخدمات السحابية وفق أفضل الممارسات., تمكين المتدرب للعمل كمهندس حوسبة سحابية.",الرياض,6 أسابيع,10:00 ص - 03:00 م,2023-10-22,2023-11-30,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/gb2DAepL/view
تطوير تطبيقات الويب باستخدام Java Spring Boot,معسكر,يهدف معسكر تطوير تطبيقات الويب باستخدام Java إلى تمكين المتدربين من تعلم لغة Java بمستواها الأول والثاني ثم استخدامها لبناء تطبيقات ويب متقدمة تحت إطار عمل Spring Boot، وحمايتها وربطها بقاعدة بيانات خاصة فيها. ,", التعرف على لغة Java ومزاياها وتطبيقاتها., التعرف على إطار عمل Spring Boot وتحميل الأدوات الأساسية لبناء برنامج وتطبيقه., القدرة على بناء وحدات Spring Boot وتحميل المكتبات. , القدرة على بناء قاعدة بيانات وربطها مع الخادم., القدرة على حماية الخادم باستخدام Spring Security. , القدرة على اختبار أداء الخادم باستخدام  Unit Testing., القدرة على بناء تطبيقات ويب متقدمة محمية ومرتبطة بقاعدة بيانات خاصة.",غير مذكور,12 أسابيع,12:00 م - 12:00 م,2023-10-22,2024-01-11,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/anVM346G/view
علم البيانات,معسكر,يهدف المعسكر للتعرف على أساسيات علم البيانات وكيفية التعامل مع الأنواع المختلفة من البيانات، بالإضافة إلى تطبيق أهم مفاهيم علم البيانات بلغة Python، بدايةً من تحليل ومعالجة البيانات ثم نمذجة البيانات واختيار الخوارزميات المناسبة لكل نوع، وأخيرًا عرضها على شكل رسوم بيانية.,", التعرف على أساسيات علم البيانات., التعرف على كيفية تحليل ومعالجة البيانات عن طريق مكتبات NumPy و Pandas., القدرة على عرض النتائج عن طريق الرسوم البيانية باستخدام مكتبة Matplotlib ومكتبة Seaborn., التعرف على مهارات الرسوم التفاعلية لعرض البيانات عن طريق مكتبة Plotly., التعرف على كيفية إنشاء نماذج التعلم الآلي (Machine Learning Models) باستخدام مكتبة scikit-learn., التعرف على مهارات تقييم دقة وفعالية نماذج التعلم الآلي., العمل مع فريق على مشاريع تطبيقية.",الرياض,8 أسابيع,12:00 م - 12:00 م,2023-10-22,2023-12-14,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/k26XzBP4/view
تطوير مواقع الويب باستخدام ASP.net core mvc,معسكر, يتناول المعسكر مفهوم أطر العمل بشكل عام ومبدأ MVC  وتطبيقه من حيث إنشاء View  و Model  و Controller  كما سيتعرف المتدرب على كيفية التعامل مع  النماذج  Forms  وقواعد البيانات والاتصال بها وتطبيق عمليات CURD وتناول تطبيقات في API  وتجربتها على بيئة خارج المشروع وداخل المشروع .,", كيفية استخدام برنامج visual studio  وإنشاء مشروع Asp . Net Core Mvc , معرفة اجزاء المشروع في Asp .net core MVC  (Model – View - Controller), كيفية التعامل مع ال Frontend  جزء ال View  وإنشاء صفحات المستخدم وإظهارها , معرفة و إنشاء ال layout  ( تخطيط الصفحة ) والتحكم به ومعرفة اهميته في اختصار صفحات ال Frontend , معرفة مفهوم ال Https  وال Routing  , ربط صفحات ال Frontend  ب ال Controller  ومعرفة شروط الربط وكيفية تبادل البيانات بين ال Frontend  وال Controller  , بناء ال Model  وربطه مع ال Controller  , تبادل البيانات بين ال Model  وال View  و ال Controller  , الإتصال بقاعدة البيانات وإجراء عمليات ال Migrations  وترحيل الحقول الى ال Database    , قراءة البيانات من ال Database  وعرضها في ال Frontend  وإجراء عمليات ال CURD , تضمين حزمة ال Security  وكيفية انشاء صفحات ال Authentications وإنشاء صفحات المصادقة (Login – Logout – Register – Forget password  ), كيفية إضافة حقول اختيارية في صفحات ال Authentications, معرفة مفهوم ال API  وكيفية تجربته في بيية من خارج المشروع كال Postman  مثلاً , كيفية إنشاء حساب في GitHub وإنشاء فرع , كيفية رفع المشروع من داخل ال Visual Studio  الى GitHub ",عن بعد,4 أسابيع,06:00 م - 09:00 م,2023-10-22,2023-11-16,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", يقام البرنامج عن بعد, لا",https://tuwaiq.edu.sa/bootcamp/eoAw2Y16/view
رحلة المنتج الرقمي: من الفكرة إلى النجاح,لقاء,لقاءات دورية في أبرز المجالات والتخصصات، من تقديم خبراء ومتخصصين وبالتعاون مع جهات رائدة ومتقدمة.,", تحليل السوق واختيار الفرص المناسبة, تطوير رؤية المنتج وتحديد الأهداف, تخطيط دورة حياة المنتج, تصميم المنتج وتطويره, قياس الأداء ومراقبة البيانات",الرياض,يوم واحد,07:00 م - 08:00 م,2023-10-25,2023-10-25,كبار,,,https://tuwaiq.edu.sa/bootcamp/K9EMrojl/view
طويق فلاق يارد,تحدي,"12 تحدي بمجال الأمن السيبراني بجوائز تصل إلى 50,000 ريال سعودي، وفرصة تأهيل الفرق المتميزة للمشاركة في تحديات CTF بلاك هات 23.",", تشجيع ودعم الشباب على الإبداع والابتكار في مجال الأمن السيبراني., إقامة منافسات مبتكرة باستخدام التقنيات الحديثة في مجال الأمن السيبراني., تأهيل المتميزين إلى تحديات CTF في بلاك هات.",الرياض,يوم واحد,10:00 ص - 08:00 م,2023-10-28,2023-10-28,كبار,,,https://tuwaiq.edu.sa/bootcamp/6RYoanm7/view
أمازون Solutions Architect (Associate),معسكر,معسكر تدريبي متخصص في إكساب المتدرب الفهم الشامل لمختلف الخدمات المقدمة من أمازون، تصميم حلول سحابية متماسكة تتميز بالأداء والمتانة العالية وذلك من خلال التعلم القائم على تطبيق هذه الحلول مباشرة على بيئات العمل الحقيقية، كما يركز المعسكر على المهارات التقنية المهمة في مختلف المجالات الحيوية كا الشبكات، أنظمة التشغيل، أجهزة التخزين، أمن المعلومات، وقواعد البيانات.,", رفع الكفاءة في المجالات الناشئة., فهم أساسيات الحوسبة السحابية وخدمات الانتقال إلى البيئة السحابية., تصميم حلول سحابية تتوافق مع أفضل الممارسات., تمكين المتدرب للعمل كمهندس حوسبة سحابية., التعرف على الأدوار الرئيسية المطلوبة في سوق العمل والشروط والمهارات المطلوبة لكل دور., تلبية احتياجات السوق المتزايدة لمهندسي الحلول سحابية.",الرياض,5 أسابيع,10:00 ص - 04:00 م,2023-10-29,2023-11-30,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/JdVRpljR/view
أساسيات اختبار الاختراق وتقييم الثغرات,برنامج,يهدف البرنامج إلى تعزيز مهارات الفرد في مجال الاختراق وتأسيسه في عدة جوانب في ذات المجال، ويعد البرنامج كمقدمة لأساسيات اختبار الاختراق من قبل عدد من التقنيات والأدوات، كما يشمل على شهادة مقدمة من eLearnSecurity، وتُعد الأنسب للمستجدين في مجال اختبار الاختراق وتقييم الثغرات.,", التأسيس التام في عدة جوانب بمجال اختبار الاختراق وتقييم الثغرات, التعرف على كيفية اختراق الشبكات والأجهزة المصابة وحتى الوصول إلى صفحات الويب, البحث عن الثغرات والتعرف على مجموعة من تقنيات الاختراق والأدوات المستخدمة في عمليات الاختراق والقرصنة",الرياض,3 أسابيع,05:00 م - 09:00 م,2023-10-29,2023-11-16,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/AO2Nn2Xq/view
إتقان حوكمة ومخاطر والتزام الأمن السيبراني,برنامج,يهدف البرنامج إلى التدريب الشامل وتزويد المشاركين بالمهارات والقدرات اللازمة لإدارة حوكمة الأمن السيبراني والمخاطر، والتمكين للالتزام في المؤسسة وتحقيق الفعالية في أفضل الممارسات بناءً على احتياجات السوق، والتمكن من تقييم المخاطر السيبرانية وإنشاء ضوابط سيبرانية.,", سيتمكن المتدربين في نهاية البرنامج من تطوير وثائق مختلفة في مجال حوكمة ومخاطر والتزام الأمن السيبراني بشكل عملي وبكفاءة عالية., سيتمكن المتدربين في نهاية البرنامج من القيام بتطوير ومراجعة ضوابط وسياسات الأمن سيبراني تماشيًا مع أفضل الممارسات المعتمدة عالميًا في مجال حوكمة السيبرانية وبكفاءة عالية., سيتمكن المتدربين في نهاية البرنامج من القيام بتقييمات أمن سيبراني تماشيًا مع أفضل الممارسات المعتمدة عالميًا في مجال تقييم المخاطر السيبرانية وبكفاءة عالية., سيتمكن المتدربين في نهاية البرنامج من القيام بتقييمات أمن سيبراني تماشيًا مع أفضل الممارسات المعتمدة عالميًا في مجال تقييم الالتزام السيبرانية وبكفاءة عالية., سيتمكن المتدربين في نهاية البرنامج من معرفة وربط التشريعات والسياسات ذات العلاقة في الأمن السيبراني بمجالاتها على مستوى عالمي ومستوى الخليج ومستوى المملكة العربية السعودية وبكفاءة عالية.",الرياض,أسبوع واحد,07:00 م - 10:00 م,2023-10-29,2023-11-02,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/Z2YB2YGR/view
مركز عمليات الأمن السيبراني (SOC L1),برنامج,يهدف البرنامج إلى التعرف على كيفية مراقبة كل ما يحصل من سجلات النظام في عمليات الأمن السيبراني، وما هي طرق الاستجابة للحوادث السيبرانية.,", التعرف على مركز عمليات الأمن السيبراني., التعرف على كيفية مراقبة كل ما يحصل في سجلات النظام., التعرف على طرق الاستجابة للحوادث السيبرانية.",غير مذكور,أسبوعان,07:00 م - 09:00 م,2023-10-29,2023-11-09,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/AjBAbxz2/view
تجربة المستخدم عن قرب,لقاء,لقاءات دورية في أبرز المجالات والتخصصات، من تقديم خبراء ومتخصصين وبالتعاون مع جهات رائدة ومتقدمة.,", أساسيات تجربة وواجهة المستخدم, أهمية تجربة المستخدم في صناعة منتج ناجح, أهمية البحث قبل التصميم, أسرار التصميم العاطفي",الرياض,يوم واحد,07:00 م - 08:00 م,2023-11-01,2023-11-01,كبار,,,https://tuwaiq.edu.sa/bootcamp/a9Qp6rZb/view
إدارة التطبيقات باستخدام Red Hat OpenShift,برنامج,يهدف البرنامج إلى تمكين مسؤولي إدارة مجموعات OpenShift من أداء إدارة الأعباء اليومية لعمليات Kubernetes والتعاون مع المطورين ومهندسي DevOps ومسؤولي النظام ومهندسي الاستجابة لضمان توفر أعباء التطبيق؛ وتركز هذه الدورة على إدارة التطبيقات التي يمكن الوصول إليها عادةً عبر واجهة مستخدم ويب أو جوال، والتي تمثل غالبية أعباء السحابة الأصلية والتي تعمل كحاويات. تشمل إدارة التطبيقات أيضًا نشرها وتحديث تبعياتها مثل قواعد البيانات وأنظمة المراسلة وأنظمة المصادقة.,", إدارة مجموعات OpenShift من واجهة سطر الأوامر، ومن واجهة الويب., استكشاف أخطاء اتصال الشبكة بين التطبيقات داخل وخارج مجموعة OpenShift., ربط أعباء Kubernetes بتخزين بيانات التطبيق., تكوين أعباء Kubernetes للحصول على توفر عالي وموثوقية., إدارة التحديثات لصور الحاويات والإعدادات وصيغ Kubernetes للتطبيق.",الرياض,أسبوع واحد,09:00 ص - 03:00 م,2023-11-05,2023-11-09,كبار,", هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟, أين سيقام البرنامج؟",", نعم, في مقر الأكاديمية بمدينة الرياض",https://tuwaiq.edu.sa/bootcamp/RDxd9l7q/view
تطبيق قاعدة بيانات SQL باستخدام لغة Python,برنامج,برنامج أساسي للمبتدئين يهدف إلى تعلم قواعد البيانات باستخدام لغة Python و SQL، ويشمل عدداً من المفاهيم الأساسية مثل تصميم قواعد البيانات وإنشائها وتنفيذ العمليات الأساسية، بالإضافة إلى استخدام SQL للاستعلام عن قواعد البيانات.,", اكتساب المعرفة والمهارات اللازمة لتصميم, إنشاء قواعد البيانات باستخدام لغة Python و SQL, تنفيذ العمليات الأساسية مثل الإضافة والتحديث والحذف, استخدام SQL للاستعلام عن قواعد البيانات واستخراج المعلومات منها, تطوير مهاراتهم في قواعد البيانات وتحليل البيانات, تطبيق المهارات في العمل أو المشاريع الفعلية",عن بعد,أسبوع واحد,04:00 م - 06:00 م,2023-11-05,2023-11-09,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", يقام البرنامج عن بعد., لا",https://tuwaiq.edu.sa/bootcamp/GoYpPYlK/view
علم المعلومات و الحوسبة الكمية,معسكر,يهدف المعسكر إلى التعرف على المفاهيم الشاملة المتعلقة بعلم المعلومات الكمية والبروتوكولات الخاصة بأساليب تشفير المعلومات، وكيفية نقلها وانشاء قنوات للتواصل يستحيل اعتراضها أو فك تشفيرها؛ بالإضافة إلى الجانب البرمجي المكثف، ومعرفة الخوارزميات الكمية التي توضح القدرة الهائلة التي لا تستطيع الحواسيب التقليدية حلها مع الأمثلة العملية والتطبيقات الحديثة.,", التعرف على اللغات البرمجية الخاصة بالحوسبة الكمية , التعرف على الفروقات بين أساسيات علم المعلومات الكلاسيكية والكمية , معرفة تطبيقات التشفير باستخدام الأساليب الكمية , القدرة على إجراء محاكاة عملية باستخدام برامج المحاكاة الكمية, التعرف على الخوارزميات الكمية واستخداماتها, التعرف على كيفية استخدام الحاسوب الكمي المتوفر بالخدمة السحابية لإجراء المهام التي تفشل بحلها الحواسيب التقليدية",الرياض,6 أسابيع,04:00 م - 08:00 م,2023-11-05,2023-12-14,كبار,", أين سيقام المعسكر؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالمعسكر؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/ZVPgKPop/view
البنية المؤسسية بمنهجية وإطار TOGAF,برنامج,يهدف البرنامج إلى التعرف على كيفية إدارة البنية المؤسسية والمفاهيم المعرفية والممارسات العملية للبنية المؤسسية بمنهجية وإطار (TOGAF)، كما تهدف للتعرف على المصطلحات والمفاهيم الأساسية لـ TOGAF والتقاطعات مع الأٌطر التقنية والإدارية المختلفة، بالإضافة إلى التقاطعات مع الجهات المُختلفة في المملكة العربية السعودية، والتركيز على التطبيق العملي لإطار، TOGAF واستخدام السيناريوهات العملية لترسيخ فهم المفاهيم.,", فهم المفاهيم الأساسية للبنية المؤسسة ومعيار TOGAF., شرح ميزات معيار TOGAF ومنهجيته., تطبيق أسلوب التطوير المعماري (ADM) والإرشادات والتقنيات الداعمة له., معرفة مخرجات محتوى العمارة., تفسير النماذج المرجعية ووظيفة البنية في TOGAF., استعداد لامتحان شهادة TOGAF. ",غير مذكور,أسبوع واحد,06:00 م - 09:00 م,2023-11-05,2023-11-09,كبار,", هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟, أين سيقام البرنامج؟",", نعم, في مقر الأكاديمية بمدينة الرياض",https://tuwaiq.edu.sa/bootcamp/8vDAXa2Z/view
أهمية الحوسبة السحابية في استدامة الأعمال,لقاء,لقاءات دورية في أبرز المجالات والتخصصات، من تقديم خبراء ومتخصصين وبالتعاون مع جهات رائدة ومتقدمة.,", مقدمة حول نطاقات استدامة الأعمال., طرق الاستفادة من الحوسبة السحابية في عملك., أساليب الحوسبة السحابية لضمان استدامة الأعمال., فرصة للنقاش مع الخبراء حول كيفية ضمان استدامة أعمالك.",الرياض,يوم واحد,07:00 م - 08:00 م,2023-11-07,2023-11-07,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الوياض, نعم",https://tuwaiq.edu.sa/bootcamp/892YZQ3j/view
مجال تطوير الالعاب: أهم الأدوات والاحتياجات,لقاء,لقاءات دورية في أبرز المجالات والتخصصات، من تقديم خبراء ومتخصصين وبالتعاون مع جهات رائدة ومتقدمة.,", استعراض الأسئلة الشائعة عن المجال والإجابة عليها., أدوات وطرق التطوير., أشكال التمويل., الفرص الوظيفية وأنواعها., مشهد تطوير الألعاب في السعودية., تجربة المتحدث الشخصية في تطوير الألعاب.",الرياض,يوم واحد,07:00 م - 08:00 م,2023-11-08,2023-11-08,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الوياض, نعم",https://tuwaiq.edu.sa/bootcamp/XqAz7rJM/view
أتمتة نظام Linux باستخدام Red Hat Ansible,برنامج,تعلم كيفية أتمتة مهام إدارة نظام Linux باستخدام منصة أتمتة Red Hat Ansible.يهدف البرنامج إلى تعلم أتمتة مهام إدارة نظام Linux باستخدام منصة أتمتة Red Hat Ansible، المصممة لمسؤولي Linux ومطوري البرامج الذين يحتاجون إلى أتمتة الخطوات المتكررة والمعرضة للأخطاء في تهيئة النظام والتكوين ونشر التطبيقات والتنسيق.,", تثبيت منصة أتمتة Red Hat Ansible على نقاط التحكم (control nodes)., إنشاء وتحديث المخزونات (inventories) للمضيفين المُدارين وإدارة الاتصالات بهم., أتمتة المهام الإدارية باستخدام سندوقات أوامر (Playbooks) وأوامر فورية (ad hoc commands) في Ansible., كتابة سندوقات أوامر فعّالة بنطاق واسع., حماية البيانات الحساسة المستخدمة في منصة أتمتة Red Hat Ansible باستخدام أداة Ansible Vault., إعادة استخدام الشفرة وتبسيط تطوير السندوقات (Playbooks) باستخدام الأدوار (Roles) في Ansible ومجموعات المحتوى (Content Collections) في Ansible.",الرياض,أسبوع واحد,09:00 ص - 03:00 م,2023-11-12,2023-11-16,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/nmY8Kp6g/view
إدارة عمليات الحوسبة السحابية,معسكر,معسكر تدريبي يهدف إلى إكساب المتدرب الفهم الشامل لمختلف الخدمات السحابية المقدمة من أمازون، وتصميم حلول سحابية متماسكة تتميز بالأداء والمرونة والمتانة العالية، كما يركز المعسكر على إكساب المتدربين مهارات أتمتة وإدارة ومراقبة التطبيقات والشبكات والأنظمة وتحسينها، كما سيتعلم المتدرب أيضًا كيفية تنفيذ حوكمة المؤسسة وضوابطها.,", فهم عميق لمنصة AWS  وأدواتها وخدماتها., رفع الكفاءة في مجالات تنفيذ وتشغيل الأنظمة., فهم عميق لأتمتة أنظمة AWS وخدماتها., إعداد المتدرب للعمل في أي جهة كمُشغل أنظمة.",الرياض,5 أسابيع,10:00 ص - 04:00 م,2023-11-12,2023-12-14,كبار,", أين سيقام المعسكر؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالمعسكر؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/zq0lRZ4V/view
إدارة خدمات تقنية المعلومات (ITIL),برنامج,برنامج تدريبي يستهدف المهتمين بتعلم مفاهيـم 4 ITIL عن طريق شرح وتطبيق عدد من المفاهيم المتخصصة، مثـل Lean Agile وDevOps، وذلك لاكتساب خبرة معرفية وعملية في مجال خدمات تقنية المعلومات.,", تعزيز وزيادة المعرفة والإلمام بالمعلومات الأساسية لخدمات تقنية المعلومات.",الرياض,أسبوع واحد,04:00 م - 07:00 م,2023-11-12,2023-11-16,كبار,", أين سيقام البرنامج؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالبرنامج؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/aW6x5y28/view
