Course_Name,Course_Description,learning_goals,level,duration,Time,Exam,Project,Course_Content
Open Source 101,ستتعرف في هذه الدورة على مفهوم البرامج مفتوحة المصدر “Open Source” وتاريخها، والفرق بين Open Source و Free Software، وطرق الاستعداد للمساهمة فيها.,"معرفة مفهوم Open Source, معرفة مفهوم Free Software, معرفة مميزات المساهمة في مشاريع FOSS, كيفية المساهمة في مشاريع FOSS",مبتدئ,ساعتان,120 دقيقة تدريبية,5  اختبارات,no,"مقدمة,  التراخيص License,  مميزات المساهمة في FOSS,  الاستعداد للمساهمة في FOSS,  المساهمة في FOSS"
Docker101,ستتعرف في هذه الدورة على المفاهيم الأساسية خلف تقنية Docker بالإضافة إلى مفهوم Image و Container.,"مفهوم تقنية Docker وأسباب استخدامها., مفهوم Image ودورها في قابلية نقل البرنامج., آلية تشغيل Container من Image.",مبتدئ,3  ساعات,180 دقيقة تدريبية,اختباران,مشروع واحد,"المقدمة | Intro,  مقدمة في Docker Images,  الحاويات | Containers,  المشروع | Project"
Command-line 106,تعرف في هذه الدورة على الأدوات المتقدمة في Command-line والتي تساعد على البحث عن الملفات وطريقة الوصول لها بشكل أسرع وأكثر فاعلية.,"طريقة البحث في نظام الملفات., مفهوم Actions و Test مع الأمر find., إضافة الشروط لعملية البحث في الملفات.",متقدم,4  ساعات,240 دقيقة تدريبية,3  اختبارات,no,"مقدمة في أداة البحث عن الملفات,  البحث عن الملفات بناءً على شروط,  إجراء عمليات على نتائج البحث"
Yaml 102,ستتعرف في هذه الدورة على مواضيع متقدمة في Yaml، مثل Anchors وكتابة Mapping وSequence، بطريقة أكثر تقدماً,"طريقة كتابة Mapping مع Sequence, طريقة كتابة Mapping مع Mapping, طريقة كتابة Sequence مع Sequence",متوسط,3  ساعات,180 دقيقة تدريبية,اختباران,no,"متطلبات الدورة,  مواضيع متقدمة في Mapping,  مواضيع متقدمة في Sequence,  مشروع نهائي"
Bash105,ستتعرف في هذه الدورة على مفاهيم Flow Control وآلية استخدامها في Bash Scripting للتحكم بتسلسل تنفيذ الأوامر، مثل تكرار بعض الأوامر أو تخطي جزء منها بناءً على شرط معين كما سنتطرق لغيرها من الاستخدامات.,"مفهوم الشروط أو Conditions لتنفيذ الأوامر بناءً على تحقق شرط معين., مفهوم التكرار أو Iteration لتكرار تنفيذ الأوامر., مفهوم Case للتحقق من قيمة معينه وتنفيذ الأوامر حسب تلك القيمة.",متوسط,3  ساعات,180 دقيقة تدريبية,4  اختبارات,no,"مقدمة في الدورة | Intro,  المعاملات |  Operators,  الشروط | Conditions,  التكرار | Iteration,  مفهوم Case,  تمارين إضافية | Additional Examples"
Git 105,ستتعلم في هذه الدورة على مفهوم Remote Branches، بالإضافة إلى كيفية إدارة أكثر من فرع على Server وربطها بالفروع على الجهاز، وكيفية إنشاء الربط لأكثر من فرع.,"مفهوم Remote Branches, كيفية ربط الفروع على Server بالفروع على الجهاز, كيفية التعامل مع أكثر من فرع في الجهاز و Server",متقدم,3  ساعات,180 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في Remote Branches,  كيفية التعامل مع Remote Branches,  مقدمة في Tracking Branches,  المشروع"
Network Programming 102,"ستتعرف في هذه الدورة على مفاهيم برمجة الشبكات، وطبقات الشبكة ""Network Layers"" في نموذج OSI، وغيرها من المفاهيم المتقدمة.","مفاهيم متقدمة في برمجة الشبكات, مفهوم طبقات الشبكة Network Layers, نموذج OSI لطبقات الشبكة",متوسط,ساعتان,120 دقيقة تدريبية,اختباران,no,"مقدمة,  الطبقات الدنيا,  الطبقات العليا,  خاتمة"
Network Programming 101,تعرف في هذه الدورة على المفاهيم الأساسية في مجال الشبكات وكيفية تناقل البيانات وماهي أبرز البرتوكولات المستخدمة بالإضافة إلى أهم المفاهيم في برمجة الشبكات.,"مفاهيم أساسية في برمجة الشبكات, بعض المفاهيم المتقدمة في برمجة الشبكات, طلب بيانات من خادم عبر Terminal",مبتدئ,ساعتان,120 دقيقة تدريبية,اختباران,no,"مقدمة في الشبكات,  مفاهيم أساسية في برمجة الشبكات,  مفاهيم متقدمة في برمجة الشبكات,  أمثلة إضافية"
Yaml 101,تعرف في هذه الدورة على أهم الأدوات المستخدمة في مفهوم Data Serialization وهي لغة YAML التي تسمح بالتعامل مع أي لغة برمجية أخرى، بالإضافة إلى استخدامات YAML والهيكل الأساسي لها.,"التعرف على yaml., التعرف على هيكلة yaml., التعرف على أنواع البيانات في yaml.",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,مشروعان,"مقدمة في Yaml,  هيكل Yaml,  أساسيات Yaml,  أسلوب الكتابة في Yaml"
Command-line 105,تعرف في هذه الدورة على أهم الاختصارات التي تمكنك من عمل مهام عديدة بجهد ووقت أقل وفاعلية أكثر في Command-line، فهذه الخصائص ستسهل استخدام لوحة المفاتيح.,"اختصارات لتحرير الأوامر قبل التنفيذ, مفهوم Meta Key ووظائفه, طريقة الوصول لتاريخ الأوامر",متوسط,4  ساعات,240 دقيقة تدريبية,3  اختبارات,no,"اختصارات متقدمة في Command-line,  تعديل النصوص على Command-line,  خصائص متقدمة في Shell"
Git 104,ستتعلم في هذه الدورة عن مفهوم Remotes وطريقة التعامل معه، بالإضافة إلى كيفية إنشاء اتصال مع المشاريع الخارجية، وإرسال وسحب البيانات من Server.,"مفهوم Remotes ووظائفها, كيفية إنشاء اتصال مع مشروع خارجي, كيفية ارسال وسحب التعديلات من Server",متوسط,3  ساعات,180 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في Remotes,  كيفية التعامل مع Remotes,  كيفية إرسال وسحب البيانات من Server,  المشروع"
Command-line 104,سنتعرف في هذه الدورة على مفاهيم Expansion في Shell من خلال استخدام Command-line، نستطيع القيام بعمليات مختصرة وأكثر سرعة باستخدام مفهوم Expansion في Shell.,"مفهوم Expansion في Shell, أنواع Expansions ومميزات كل نوع, مفهوم تقسيم الكلمات في Shell",متوسط,4  ساعات,240 دقيقة تدريبية,3  اختبارات,no,"نظرة أعمق على Shell Expansion,  علامات التنصيص في Shell,  نظرة على Escaping Characters في Shell"
Git 103,في هذه الدورة ستتعرف على كيفية ربط التعديلات من فرع إلى فرع آخر باستخدام Rebase.,"معرفة أنواع الربط في Git, كيفية ربط التعديلات من فرع إلى فرع آخر باستخدام Rebase, كيفية التراجع عن تنفيذ Rebase",متوسط,3  ساعات,180 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في Rebase,  الأوامر الأساسية في Rebase,  التعارض أثناء تنفيذ Rebase,  تمرين تطبيقي على  Rebase,  المشروع"
Linux: Text Processing 102,تعرف في هذه الدورة على الأوامر المستخدمه لتحرير النصوص في Linux ومجموعة مفاهيم لأوامر متقدمة تساعد على دمج الملفات واستبدال النصوص وطباعة تفاصيل أكثر عن الملفات.,"طريقة استبدال النصوص مع الأمر tr., عكس الكلمات باستخدام الأمر rev., دمج الملفات باستخدام الأمر paste.",مبتدئ,3  ساعات,180 دقيقة تدريبية,no,no,"نظرة عامة على الدورة,  استبدال النصوص | أمر tr,  دمج الملفات | الأمر paste,  طباعة عدد الأسطر | الأمر nl,  عكس الكلمات والأسطر | الأمر rev و tac"
Linux: Text Processing 101,تعرف في هذه الدورة على الأوامر المستخدمة في نظام Linux لمعالجة النصوص.,"التعرف علي أوامر الترتيب, التعرف على أوامر مقارنة الملفات, التعرف على أوامر الدمج",مبتدئ,4  ساعات,240 دقيقة تدريبية,no,no,"نظرة عامة على الدورة,  ترتيب الملفات | الأمر sort,  إزالة الأسطر المتكررة | الأمر uniq,  مقارنة الملفات | أمر diff و أمر comm,  إزالة جزء من  الأسطر | الأمر cut"
Git 102,في هذه الدورة ستتعلم كيفية إدارة المشروع لأكثر من Branch وكيفية دمجها وحل مشكلة التعارض أثناء الدمج.,"كيفية إدارة المشروع لأكثر من فرع, كيفية دمج الفروع, كيفية حل مشكلة التعارض أثناء الدمج, كيفية إضافة الإصدارات باستخدام Tags",مبتدئ,5  ساعات,300 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مفهوم الفروع | Branches,  مقدمة في الدمج | Merge,  كيفية التعامل مع الإصدارات | Tags,  المشروع"
Command-line 103,سنتعرف في هذه الدورة على الأوامر التي تساعدنا في عمل إعادة توجية للمدخلات والمخرجات Input/Output Redirection. وذلك باستخدام المعاملات الخاصة لكل عملية من عمليات إعادة توجيه المدخلات والمخرجات.,"مفهوم إعادة توجيه المدخلات والمخرجات I/O Redierction., كيفية استخدام File Descriptors في إعادة التوجية., التخلص من المخرجات الغير مرغوب فيها.",متوسط,4  ساعات,240 دقيقة تدريبية,3  اختبارات,no,"إعادة توجيه المخرجات في Shell,  إعادة توجيه رسائل الخطأ في Shell,  إعادة توجيه المدخلات في Shell"
Linux: Files and Permissions,في هذه الدورة سنتعرف على الملفات والصلاحيات في نظام Linux.,"مفهوم نظام الملفات, مفهوم Access Control List, إعطاء الصلاحيات للملفات والمجلدات",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,no,"مقدمة في الملفات,  نظرة على المجلدات,  مقدمة في الصلاحيات | Permissions,  مفهوم Access control list"
Command-line 102,سنتعرف في هذه الدورة على الأوامر التي تساعد في معرفة تفاصيل أكثر عن الأنواع المختلفة للأوامر وكيفية عملها.,"الأنواع المختلفة التي ينتمي لها كل أمر من Command-line., طريقة التحقق من نوعية الأوامر., عرض جميع التفاصيل الخاصة لدليل استخدام كل أمر.",مبتدئ,3  ساعات,180 دقيقة تدريبية,3  اختبارات,no,"مقدمة في أنواع الأوامر,  تفاصيل أكثر عن الأوامر وأنواعها,  كتابة الأوامر بطريقة متقدمة,  أمثلة تطبيقية"
Bash104,ستتعلم في هذه الدورة مجموعة من المفاهيم في Bash فيما يتعلق في الدوال أو Functions.,"آلية إنشاء وعرض وحذف الدوال Functions في Bash, آلية استخدام الدوال Functions بداخل Bash Scripts, مفهوم المتغيرات المحلية Local Variables و المتغيرات العامة Global Variables في Bash Scripting, مفهوم الأولوية في التنفيذ مابين Functions و Scripts و Aliases",مبتدئ,4  ساعات,240 دقيقة تدريبية,4  اختبارات,مشروع واحد,"المقدمة | Intro,  الدوال | Functions,  الدوال في Functions within Script | Bash Scripting,  المتغيرات والدوال | Local and Global Variables,  الأولوية في التنفيذ | Order of Precedence,  أمثلة إضافية | Additional Examples,  المشروع | Project"
Git 101,"في هذه الدورة ستتعلم برنامج Git وكيفية عمله؟ وفيما تحتاجه؟ 
معرفة الأوامر الأساسية لبرنامج Git وكيفية إدارة المشاريع من خلال Git.
معرفة كيفية تنصيب برنامج Git.
القدرة على عمل مشروع وتتبع إصداراته.","التعرف على برنامج Git وكيفية عمله، وفيما تحتاجه؟, معرفة الأوامر الأساسية لبرنامج Git وكيفية إدارة المشاريع من خلال Git., معرفة كيفية تنصيب برنامج Git., القدرة على عمل مشروع وتتبع إصداراته.",مبتدئ,3  ساعات,180 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في Git,  تثبيت برنامج Git,  الأوامر الأساسية في Git,  عرض إصدارات المشروع,  المشروع"
Bash103,ستتعلم في هذه الدورة مفهوم Automation وكيفية توظيف هذا المفهوم في إنشاء Bash Scripts.,"مفهوم Automation, آلية إنشاء Bash Script وتنفيذه, آلية استقبال مدخلات أو Arguments في Bash Scripts",مبتدئ,3  ساعات,180 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في مفهوم Automation,  مقدمة في Bash Scripting,  مفهوم PATH Variable,  مفهوم Positional Parameters,  تمارين إضافية | Additional Exercises,  المشروع | Project"
Bash 102,ستتعلم في هذه الدورة كيفية التعامل مع بيئة Bash.,"مفهوم البيئة أو Environment في Bash، بحيث يستطيع المستخدم التعديل والتغيير على البيئة بطريقة تناسب احتياجات المستخدم., آلية إنشاء متغيرات shell variables بالإضافة إلى التعامل مع المتغيرات الخاصة في بيئة Bash., اختصارات و أوامر تسرّع من عمل المستخدم في Bash.",مبتدئ,ساعتان,120 دقيقة تدريبية,5  اختبارات,مشروع واحد,"مقدمة في مفهوم البيئة,  مفهوم Emacs Editing Mode,  مفهوم Alias,  المتغيرات | Variables,  مفهوم Options,  مفهوم Special Files,  أمثلة إضافية | Additional Examples,  المشروع | Project"
Linux: Devices,في هذه الدورة سنتعرف على طريقة تعامل نظام Linux مع الأجهزة.,"التعرف على مجلد dev., التعرف على أنواع الأجهزة وأسمائها., التعرف على مفاهيم مثل dd و udev.",متوسط,3  ساعات,180 دقيقة تدريبية,3  اختبارات,no,"مقدمة في الأجهزة,  مفاهيم أساسية,  مفاهيم متقدمة"
Command-line 101,سنتعرف في هذه الدورة على أساسيات الأوامر Command-line وتعتبر الأوامر Command-line من أهم الأدوات التي يجب أن يحصل عليها أي مطور، بحيث ستمكنك هذه الدورة من التعامل مع جهاز الكمبيوتر بوضوح وأكثر فعالية.,"التعرف على المفاهيم الأساسية في عالم Command-line, ماهي أهم الأوامر للتلاعب بالملفات والمجلدات, مفاهيم أساسية في برنامج Shell",مبتدئ,4  ساعات,240 دقيقة تدريبية,4  اختبارات,no,"مقدمة في Command-line,  أساسيات الأوامر Commands,  التعامل مع الملفات والمجلدات,  أساسيات Shell,  تطبيقات عملية على Command-line"
Bash 101,ستتعلم فيه هذه الدورة مجموعة من أساسيات Bash والتي بدورها تقوم بتأهيلك إلى Bash Scripting.,"طريقة التعامل مع مجموعة من الملفات باستخدام Wildcards, مفهوم و آلية تنفيذ Pipeline, مفهوم و آلية تنفيذ Background Jobs",مبتدئ,3  ساعات,180 دقيقة تدريبية,6  اختبارات,مشروع واحد,"مقدمة في مفهوم shell,  مقدمة في Bash,  التعامل مع الملفات باستخدام Wildcards,  التعامل مع الملفات باستخدام Brace Expansion,  مفهوم Pipeline,  مفهوم Background Jobs,  المشروع | Project,  أمثلة إضافية | Additional Examples"
Linux 101,في هذه الدورة سنتعرف على نظام التشغيل Linux وتوزيعاتها والبرامج المستخدمة ومفهوم Package Manager.,"التعرف على نظام تشغيل Linux, التعرف على Package Manager, التعرف على توزيعات Linux",مبتدئ,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"مقدمة في نظام Linux,  توزيعات Linux,  البرامج المستخدمة في نظام Linux,  مقدمة في Package Manager"
مقدمة في علم البيانات,سنتعرف في هذهِ الدورة على علم البيانات وتاريخه، بالإضافة للمفاهيم الأساسية في علم البيانات.,"ماهو علم البيانات وما أهميته؟, الخطوات الرئيسية لبناء مشاريع علوم البيانات., المهارات الهامة لعالم البيانات., أهم التقنيات والمكتبات الخاصة بعلم البيانات.",مبتدئ,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"مقدمة في علم البيانات,  الخطوات الأساسية لمشاريع علم البيانات,  التخصصات المرتبطة بعلم البيانات,  الأدوات ومصادر البيانات"
API (Application Programming Interface),من خلال هذه الدورة تستطيع استيعاب مفهوم Application Programming Interface أو ما تسمى API، بالإضافة إلى بناء RESTful API.,"مفهوم Application Programming Interface (API)., بناء RESTful API., مفهوم Json Web Token (JWT).",متوسط,ساعتان,120 دقيقة تدريبية,5  اختبارات,no,"مفهوم (API (Application Programming Interface,  استخدام API (Application Programming Interface),  مفهوم (RESTful API (Representational State Transfer,  الأدوات المستخدمة | Tools,  بناء RESTful API,  مفهوم JWT (Json Web Token)"
React102,سنتعرف في هذهِ الدورة على عدد من المفاهيم في مكتبة React والمستخدمة لتسهيل بناء واجهات المستخدم UI في تطبيقات الويب.,"مفاهيم Component Lifecycle., التعامل مع API., استخدام Hooks.",متوسط,6  ساعات,360 دقيقة تدريبية,3  اختبارات,no,"دورة حياة المكونات | Components Lifecycle,  التعامل مع API,  استخدام Hooks,  مشروع  | Project"
Django 103,سنتعرف في هذهِ الدورة على أساسيات تطوير تطبيقات الويب باستخدام Django Framework.,"التعامل مع Static Files., التعامل مع Media Files., التعامل مع قواعد بيانات (PostgreSQL).",متوسط,ساعتان,120 دقيقة تدريبية,4  اختبارات,no,"مقدمة عن Django 103,  إنشاء المشروع و التطبيقات,  التعامل مع Static Files,  التعامل مع قواعد بيانات PostgreSQL,  التعامل مع Media Files"
React101,سنتعرف في هذهِ الدورة على مكتبة React المستخدمة لتسهيل بناء واجهات المستخدم UI في تطبيقات الويب.,"مقدمة في React., إنشاء مشروع في React., مفاهيم Components, Props and State في React.",مبتدئ,6  ساعات,360 دقيقة تدريبية,4  اختبارات,no,"مقدمة في React,  إنشاء مشروع React,  المكونات | Component,  الخصائص | Props,  الحالات | States,  مشروع | Project"
أساسيات Firebase في Android,سنتعلم في هذهِ الدورة أساسيات Firebase في Android وكيفية استخدام أهم الخدمات في تطبيقاتنا.,"سوف تتعلم كيفية استخدام Firebase Authentication., سوف تتعلم كيفية استخدام Firebase Google Sign-in., سوف تتعلم كيفية استخدام  Firebase storage., سوف تتعلم كيفية استخدام Firebase firestore.",متوسط,ساعتان,120 دقيقة تدريبية,4  اختبارات,no,"المقدمة,  خدمة Firebase Authentication,  خدمة Firebase Google Sign-in,  خدمة Firebase Firestore,  خدمة Firebase Storage"
Jetpack Compose - Android,سنتعرف في هذه الدورة على طريقة استخدام Jetpack Compose لبناء واجهات تطبيقات Android.,"نبذة عن Jetpack Compose., التعرف على Layouts., إضافة تنسيقات على UI.",مبتدئ,ساعتان,120 دقيقة تدريبية,6  اختبارات,مشروع واحد,"مقدمة في Jetpack Compose,  مقدمة في Text,  مقدمة في Modifier,  مقدمة في Layouts,  التعرف على UI controls,  مقدمة في State,  المشروع النهائي"
ASP.NET Core MVC 102,سنتعرف في هذهِ الدورة على مفاهيم متقدمة في تطوير تطبيقات الويب باستخدام ASP.NET Core MVC.,"التعرف على EF Core وإضافته مع MVC., تطبيق عمليات CRUD على تطبيق ASP.NET Core MVC., مفهوم Validation وإضافته في MVC.",متوسط,4  ساعات,240 دقيقة تدريبية,5  اختبارات,no,"نظرة على Forms and HTML Helpers,  ربط تطبيق ASP.NET Core MVC مع Entity Framework Core,  مفهوم العلاقات في Entity Framework Core,  تطبيق عمليات على البيانات CRUD,  مفهوم التحقق Validation"
Android 103,سنتعرف في هذه الدورة على مجموعة من المفاهيم لبناء واجهات Responsive وعرض البيانات باستخدام RecyclerView و App Navigation.,"مفهوم Responsive UI: Constraint Layout., مفهوم RecyclerView., مفهوم Adapter., مفهوم ViewHolder., مفهوم Navigation ولماذا وجد؟, أهم عناصر Navigation Component.",متوسط,0  ساعة,no,3  اختبارات,no,"مقدمة الدورة,  مفهوم Responsive UI: Constraint Layout,  مفهوم RecyclerView,  مفهوم App Navigation"
Flutter 102,سنتعرف في هذهِ الدورة على عدد من المفاهيم المتقدمة في Flutter، كمفهوم State Management  ومفهوم التنقل بين الصفحات واستخدام المكتبات الخارجية وغيرها من المفاهيم.,"تحديث الحالات في الصفحات StatefulWidget, التنقل بين الصفحات, استخدام المكتبات الخارجية",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروع واحد,"تحديث الحالات في الصفحات,  التنقل بين الصفحات,  استخدام المكتبات الخارجية,  مشروع اختيار العلم,  المشروع"
Node.js MVC,"ستقوم في هذهِ الدورة بالاستفادة من المفاهيم التي اكتسبتها من تعلم لغة Javascript وبيئة عمل Node.js بالإضافة إلى العديد من المفاهيم الأخرى مثل Express وقواعد البيانات MongoDB وتقنيات تصميم الواجهات HTML, CSS, Bootstrap في إنشاء تطبيق ويب متكامل.","استخدام مكتبة Mongoose للتعامل مع البيانات في قواعد بيانات MongoDB., إنشاء واجهات للمستخدم باستخدام HTML, CSS, Bootstrap., الربط بين Back-end وواجهات المستخدم Front-end.",متوسط,6  ساعات,360 دقيقة تدريبية,7  اختبارات,no,"المقدمة,  مقدمة في Express,  قاعدة البيانات MongoDB,  واجهات المستخدم | User Interface,  مجلد Model,  مجلد Controller,  مجلد Router,  مجلد View,  مشروع | Project"
Flutter 101,سنتعرف في هذهِ الدورة على إطار العمل Flutter وعلى أهم مميزاته، كما سنتعرف على طريقة تثبيته وتشغيله على محاكي iOS ومحاكي Android,"مقدمة عن إطار العمل Flutter, تثبيت Flutter وتشغيل محاكي iOS و Android, التعرف على مفهوم Widget وأهم عنصارها",مبتدئ,3  ساعات,180 دقيقة تدريبية,اختبار واحد,مشروع واحد,"مقدمة عن Flutter,  تثبيت وتهيئة البيئة,  مشروع تعريفي بإطار عمل Flutter,  عناصر Widgets,  تطبيق مفاهيم Widgets,  المشروع"
Python 103,"سنتعمق في هذهِ الدورة أكثر في لغة Python، بحيث سيتم التطرق إلى مفهوم البرمجة كائنية التوجه Object-Oriented Programming بشكل عام، والمفاهيم المتعلقة بها مثل Encapsulation, Inheritance و Polymorphism وتفاصيل حول هذهِ المفاهيم في البرمجة بشكل عام وتطبيقها في Python بشكلٍ خاص.","البرمجة كائنية التوجه Object-Oriented Programming., مفهوم Encapsulation., مفهوم الوراثة Inheritance., مفهوم Polymorphism.",متقدم,3  ساعات,180 دقيقة تدريبية,3  اختبارات,مشروعان,"مقدمة عن البرمجة الكائنية,  الخصائص والدوال | Attributes and Methods,  الوراثة |  Inheritance,  المشروع"
Python 104,سنتعرف في هذهِ الدورة على بعض المواضيع المتقدمة في لغة Python مثل التعامل مع الأخطاء الاستثنائية والتعامل مع الملفات والتعرف على مفهوم Module ومفهوم Synchronous و Asynchronous.,"التعامل مع Errors and Exceptions., التعامل مع Module., التعامل مع  Scope.",متقدم,ساعتان,120 دقيقة تدريبية,5  اختبارات,no,"مقدمة في Scope,  مقدمة في Module,  مقدمة في Files,  مقدمة في Exception Handling,  مقدمة في Synchronous و Asynchronous"
Django 102,سنتعرف في هذهِ الدورة على أساسيات تطوير تطبيقات الويب باستخدام Django Framework.,"التعامل مع قواعد البيانات في Django., مقدمة في  Django Admin وإدارة البيانات من إضافة وحذف وتعديل., التعامل مع Django Forms.",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"مقدمة عن Django 102,  التعامل مع البيانات,  إدارة البيانات عن طريق حساب Django Admin,  التعامل مع Django Forms"
Dart 101,سنتعرف في هذهِ الدورة على أساسيات لغة Dart وكيفية استخدام المفاهيم البرمجية فيها.,"تعريف المتغيرات وأنواع البيانات وطرق حفظها., إنشاء الجمل الشرطية وطباعتها., مفهوم الدوال وكيفية كتابتها واستدعائها.",مبتدئ,ساعتان,120 دقيقة تدريبية,7  اختبارات,مشروع واحد,"التعرف على Dart,  أساسيات اللغة | Basics,  أنواع البيانات | Data Type,  المعاملات | Operators,  العبارات الشرطية | Conditional Statement,  التكرار | Loop,  القوائم | List,  Maps,  المشروع"
Python 102,في هذه الدورة سنتعمق أكثر في لغة Python، بحيث أننا سنتطرق إلى كيفية التعامل مع التواريخ والأرقام، والمزيد من الدوال المستخدمة في أنواع البيانات المختلفة، كما أننا سنتعرف على Functions بشكل أوسع.,"التعامل مع التواريخ والأرقام., التعامل مع أنواع البيانات المختلفة Sequence Data Types., التعامل مع الدوال بشكل أعمق.",متوسط,3  ساعات,180 دقيقة تدريبية,5  اختبارات,مشروع واحد,"التواريخ والأرقام | Dates and Numbers,  أنواع البيانات المتقدمة بشكل أعمق | Advanced Sequence,  النصوص بشكل أعمق | Advanced Strings,  القوائم بشكل أعمق | Advanced Lists,  الدوال بشكل أعمق | Advanced Functions,  المشروع"
Django 101,سنتعرف في هذهِ الدورة على أساسيات تطوير تطبيقات الويب باستخدام Django Framework.,"مفهوم (MVC) و (MVT) والفرق بينهما., بناء تطبيقات باستخدام Django., مفهوم View و كيفية تنفيذ URL Mapping., مفهوم Model و كيفية تنفيذ Migrations., إنشاء Template وعمل Template Rendering., إنشاء حساب في Django Admin.",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,مشروع واحد,"مقدمة في Django ومفهوم MVT,  الأدوات المستخدمة,  إنشاء المشاريع والتطبيقات في Django,  مقدمة عن مفهوم Models و Migrations,  مقدمة في Templates و Views و URL Mapping,  المشروع"
Android 101,سنتعرف في هذهِ الدورة على مواضيع أساسية في Android Studio باستخدام لغة Kotlin.,"سنتعرف على كيفية إنشاء تطبيق باستخدام Android Studio., سنتعرف على واجهات Android Studio., سنتعرف على كيفية تشغيل التطبيق على جهاز حقيقي وعلى جهاز محاكي., سنتعرف على Activity Lifecycle., سنتعرف على intent.",مبتدئ,ساعتان,120 دقيقة تدريبية,اختباران,no,"مقدمة  في تطوير تطبيقات Android,  تثبيت Android Studio,  إنشاء مشروع جديد في Android Studio,  واجهة مستخدم Android studio,  تشغيل التطبيق على الجهاز,  تصميم واجهة المستخدم,  مفهوم Activity Lifecycle,  مفهوم Intent"
Android 102,سنتعرف في هذهِ الدورة على مواضيع متقدمة في Android Studio باستخدام لفة Kotlin.,"سنتعرف على fragments., سنتعرف على SQLite., سنتعرف على SharedPreferences.",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,no,"تدوير الشاشة,  مقدمة في Fragments,  مقدمة في SharedPreference,  قاعدة البيانات SQLite"
Kotlin 104,سنتعرف في هذهِ الدورة على بعض المفاهيم المتقدمة في kotlin.,"دوال Collection., مفاهيم Polymorphism و Delegation., دوال infix و Extension.",متوسط,ساعتان,120 دقيقة تدريبية,no,no,"دوال Collection,  دوال infix,  دوال Extension,  مقدمة في polymorphism,  مقدمة في Delegation"
101 ASP.NET Core MVC,سنتعرف في هذهِ الدورة على تطوير تطبيقات الويب باستخدام ASP.NET Core MVC.,"دور NET. في تطوير التطبيقات., مفهوم Model-View-Controller., تطوير تطبيقات ASP.NET.",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,مشروع واحد,"مقدمة في تطوير مواقع الويب,  مفهوم Controllers,  نظرة على Views,  نظرة على Models,  مشروع الدورة"
SQL 102,"سنتعرف في هذهِ الدورة على كيفية التعامل مع البيانات في الجداول وإجراء العمليات عليها باستخدام دوال مختلفة مثل Aggregate functions , Scalar functions.","التعامل مع البيانات., نظرة على Aggregate functions., نظرة على Scalar functions.",متوسط,ساعة واحدة,60 دقيقة تدريبية,3  اختبارات,مشروع واحد,"التعامل مع البيانات ٢ | 2 Data CRUD,  نظرة على Aggregate functions,  نظرة على Scalar functions,  المشروع"
SQL 101,سنتعرف في هذهِ الدورة على أساسيات SQL في التعامل مع قواعد البيانات وإدارة محتوياتها من تخزين البيانات، وعرضها، والتعديل عليها، وكذلك حذفها.,"مفهوم قواعد البيانات واستخداماتها., التعامل مع الجداول., إدارة البيانات من إضافة، عرض، تعديل، وحذف.",مبتدئ,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في قواعد البيانات,  الأدوات المستخدمة,  التعامل مع قواعد البيانات | Databases,  التعامل مع الجداول | Tables,  التعامل مع البيانات | Data CRUD,  المشروع"
SQL 103,في هذه الدورة سنتعرف على مفاهيم متقدمة في SQL,"مفهوم العلاقات بين الجداول, مفهوم JOINS, مفهوم FOREIGN KEY",متقدم,ساعتان,120 دقيقة تدريبية,6  اختبارات,مشروعان,"مفهوم FOREIGN KEY,  مفهوم العلاقات | Relations,  مفهوم JOINS,  مفهوم VIEW,  مفهوم INDEXES,  مفهوم PROCEDURES,  المشروع,  المشروع النهائي"
UX/UI,سنتعرف في هذهِ الدورة على أساليب وطرق تصميم تجربة المستخدم وتصميم واجهة المستخدم، بدايةً من اكتشاف المشاكل بتصميم الواجهات والبحث عن الحلول باستخدام التفكير التصميمي وإنشاء التصاميم المبدئية إلى إنشاء تجربة مستخدم وواجهة مستخدم متكاملة.,"استكشاف المشاكل التصميمية وإيجاد حلولها., التعرف على التصاميم المبدئية Low-fidelity وفائدتها., إنشاء واجهة مستخدم ومتابعة تجربة المستخدم.",مبتدئ,4  ساعات,240 دقيقة تدريبية,3  اختبارات,no,"مقدمة في تجربة المستخدم وواجهة المستخدم UX/UI,  التصميم المبدئي Prototyping,  تصميم نموذج High-Fidelity"
